CO,Name,Value
36,Central Elementary,60905394.09
36,Chaffey Joint Union High,359380776.5
36,Chino Valley Unified,364368052.7
36,Colton Joint Unified,347559861.2
36,Cucamonga Elementary,45310308.16
36,Etiwanda Elementary,193435950.9
36,Fontana Unified,595331697.4
36,Helendale Elementary,9499868.88
36,Morongo Unified,119096061.7
36,Mountain View Elementary,38705832.67
36,Mt. Baldy Joint Elementary,1303383.71
36,Needles Unified,20546465.57
36,Ontario-Montclair Elementary,383041705.1
36,Oro Grande Elementary,10486040.26
36,Redlands Unified,336827818.2
36,Rialto Unified,408045888.3
36,Rim of The World Unified,45305280.05
36,San Bernardino City Unified,901215818.1
36,Trona Joint Unified,7077391.83
36,Victor Elementary,188624330.1
36,Victor Valley Union High,198402979.6
36,Yucaipa-Calimesa Joint Unified,126779637.6
36,Baker Valley Unified,3666039.93
36,Silver Valley Unified,38950503.31
36,Snowline Joint Unified,108838372.7
36,Hesperia Unified,339406118.3
36,Lucerne Valley Unified,19797757.14
36,Upland Unified,157597750.3
36,Apple Valley Unified,213196462.2
37,Alpine Union Elementary,21074041.55
37,Borrego Springs Unified,8103665.83
37,Cajon Valley Union Elementary,260537910.8
37,Cardiff Elementary,11933441.27
37,Chula Vista Elementary,347728504.5
37,Coronado Unified,49748870.81
37,Dehesa Elementary,2784485.58
37,Del Mar Union Elementary,72053463.98
37,Encinitas Union Elementary,76529609.89
37,Escondido Union Elementary,258294612.4
37,Escondido Union High,125470895.1
37,Fallbrook Union Elementary,99909639.1
37,Fallbrook Union High,37505094.06
37,Grossmont Union High,282371566.6
37,Jamul-Dulzura Union Elementary,8817047.92
37,Julian Union Elementary,5539669.91
37,Julian Union High,4023506.75
37,Lakeside Union Elementary,70143230.98
37,La Mesa-Spring Valley,168824636.2
37,Lemon Grove Elementary,55259548.56
37,Mountain Empire Unified,31794889.1
37,National Elementary,85699317.14
37,Poway Unified,479808308.7
37,Ramona City Unified,69536703.71
37,Rancho Santa Fe Elementary,13741712.72
37,San Diego Unified,1822527187
37,San Dieguito Union High,175282650
37,San Pasqual Union Elementary,6463494.84
37,Santee Elementary,85454843.84
37,San Ysidro Elementary,78806232.67
37,Solana Beach Elementary,57766921.96
37,South Bay Union Elementary,98676592.53
37,Spencer Valley Elementary,5363948.51
37,Sweetwater Union High,526965381.6
37,Vallecitos Elementary,3734798.68
37,Vista Unified,312593030.3
37,Carlsbad Unified,159706031.3
37,Oceanside Unified,271102154.8
37,San Marcos Unified,268932562.4
37,Warner Unified,5540183.23
37,Valley Center-Pauma Unified,57548822.3
37,Bonsall Unified,31753710.2
38,San Francisco Unified,1056667857
39,Escalon Unified,34798283.33
39,Jefferson Elementary,28931990.83
39,Lincoln Unified,118297375.6
39,Linden Unified,37263346.53
39,Lodi Unified,414596210.5
39,Manteca Unified,345543338.3
39,New Hope Elementary,3375759.02
